@relation Ambiente3

@attribute Sensor {NENHUM,FRONTAL,DIREITO,ESQUERDO,FRONTALDIREITO,FRONTALESQUERDO,DIREITAESQUERDA,TODOS}
@attribute Volante {PARADO,DIREITA,ESQUERDA}
@attribute Desempenho {RUIM,MEDIO,BOM}

@data
NENHUM,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
TODOS,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
ESQUERDO,PARADO,BOM
NENHUM,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,PARADO,BOM
FRONTAL,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
NENHUM,PARADO,BOM
DIREITO,PARADO,BOM
NENHUM,PARADO,BOM
DIREITO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
TODOS,PARADO,BOM
NENHUM,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
FRONTAL,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,DIREITA,BOM
ESQUERDO,PARADO,BOM
NENHUM,ESQUERDA,BOM
TODOS,PARADO,BOM
NENHUM,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
TODOS,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
NENHUM,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,DIREITA,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
TODOS,PARADO,BOM
ESQUERDO,PARADO,BOM
TODOS,PARADO,BOM
TODOS,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
DIREITO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
ESQUERDO,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
DIREITO,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
DIREITO,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,DIREITA,BOM
DIREITO,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,PARADO,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
NENHUM,PARADO,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTAL,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
NENHUM,ESQUERDA,BOM
NENHUM,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,ESQUERDA,BOM
DIREITO,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,ESQUERDA,BOM
TODOS,PARADO,BOM
DIREITO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITO,PARADO,BOM
NENHUM,ESQUERDA,BOM
DIREITO,PARADO,BOM
FRONTAL,DIREITA,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
NENHUM,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,ESQUERDA,BOM
TODOS,PARADO,BOM
TODOS,PARADO,BOM
FRONTAL,DIREITA,BOM
NENHUM,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITO,PARADO,BOM
FRONTAL,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
DIREITO,PARADO,BOM
TODOS,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
FRONTAL,DIREITA,BOM
ESQUERDO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,PARADO,BOM
NENHUM,DIREITA,BOM
DIREITO,PARADO,BOM
NENHUM,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITO,PARADO,BOM
FRONTAL,DIREITA,BOM
ESQUERDO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
TODOS,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
TODOS,PARADO,BOM
DIREITO,PARADO,BOM
FRONTAL,DIREITA,BOM
NENHUM,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
DIREITO,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,DIREITA,BOM
TODOS,PARADO,BOM
FRONTAL,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTAL,DIREITA,BOM
TODOS,PARADO,BOM
TODOS,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,DIREITA,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,PARADO,BOM
NENHUM,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,DIREITA,BOM
TODOS,PARADO,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,ESQUERDA,BOM
NENHUM,PARADO,BOM
NENHUM,ESQUERDA,BOM
NENHUM,DIREITA,BOM
FRONTAL,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,PARADO,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
NENHUM,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
TODOS,PARADO,BOM
TODOS,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITO,PARADO,BOM
DIREITO,PARADO,BOM
DIREITO,PARADO,BOM
FRONTAL,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
DIREITO,PARADO,BOM
FRONTAL,DIREITA,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
FRONTAL,DIREITA,BOM
NENHUM,ESQUERDA,BOM
DIREITO,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,DIREITA,BOM
NENHUM,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
DIREITO,PARADO,BOM
DIREITO,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,PARADO,BOM
DIREITO,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
ESQUERDO,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
TODOS,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITO,PARADO,BOM
NENHUM,ESQUERDA,BOM
TODOS,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTAL,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
FRONTAL,DIREITA,BOM
TODOS,PARADO,BOM
NENHUM,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTAL,DIREITA,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
NENHUM,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,ESQUERDA,BOM
NENHUM,DIREITA,BOM
FRONTAL,DIREITA,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,DIREITA,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,DIREITA,BOM
NENHUM,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,DIREITA,BOM
NENHUM,ESQUERDA,BOM
DIREITO,PARADO,BOM
NENHUM,DIREITA,BOM
TODOS,PARADO,BOM
TODOS,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
TODOS,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,DIREITA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITO,PARADO,BOM
TODOS,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
NENHUM,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
NENHUM,PARADO,BOM
TODOS,PARADO,BOM
ESQUERDO,PARADO,BOM
TODOS,PARADO,BOM
DIREITO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
DIREITO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITO,PARADO,BOM
NENHUM,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
DIREITO,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,PARADO,BOM
TODOS,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,PARADO,BOM
DIREITO,PARADO,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
DIREITO,PARADO,BOM
NENHUM,DIREITA,BOM
TODOS,PARADO,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
ESQUERDO,PARADO,BOM
DIREITO,PARADO,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
TODOS,PARADO,BOM
NENHUM,PARADO,BOM
FRONTAL,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,DIREITA,BOM
NENHUM,DIREITA,BOM
DIREITO,PARADO,BOM
DIREITO,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,PARADO,BOM
NENHUM,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,DIREITA,BOM
NENHUM,DIREITA,BOM
NENHUM,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
NENHUM,PARADO,BOM
NENHUM,PARADO,BOM
DIREITO,PARADO,BOM
NENHUM,PARADO,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
TODOS,PARADO,BOM
NENHUM,PARADO,BOM
NENHUM,PARADO,BOM
FRONTAL,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
NENHUM,DIREITA,BOM
DIREITO,PARADO,BOM
NENHUM,DIREITA,BOM
DIREITO,PARADO,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,ESQUERDA,BOM
NENHUM,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTALDIREITO,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
TODOS,PARADO,BOM
TODOS,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
FRONTALDIREITO,ESQUERDA,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,ESQUERDA,BOM
NENHUM,PARADO,BOM
TODOS,PARADO,BOM
FRONTAL,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITAESQUERDA,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
TODOS,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTAL,ESQUERDA,BOM
TODOS,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITO,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
NENHUM,DIREITA,BOM
ESQUERDO,PARADO,BOM
NENHUM,PARADO,BOM
ESQUERDO,PARADO,BOM
NENHUM,PARADO,BOM
FRONTAL,DIREITA,BOM
FRONTAL,DIREITA,BOM
TODOS,PARADO,BOM
FRONTALESQUERDO,DIREITA,BOM
DIREITO,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
NENHUM,ESQUERDA,BOM
FRONTAL,ESQUERDA,BOM
NENHUM,DIREITA,BOM
FRONTALESQUERDO,DIREITA,BOM
ESQUERDO,PARADO,BOM
ESQUERDO,PARADO,BOM
FRONTAL,DIREITA,BOM
TODOS,PARADO,BOM
DIREITAESQUERDA,PARADO,BOM
TODOS,PARADO,BOM
FRONTAL,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
ESQUERDO,PARADO,BOM
NENHUM,DIREITA,BOM
FRONTALDIREITO,ESQUERDA,BOM
